Name,Constellation,Magnitude,Distance (ly)
Andromeda,Terra,0,2900000.0
Andromeda,Aquarius,0,2902000.0
Aquarius,Terra,0,2000.0
Aquarius, Auriga,0,1000.0
Auriga,Terra,0,4100.0
Cancer,Terra,0,577.0
Cancer,Leo,0,577.0
Cancer,Orion,0,77.0
Orion,Gemini,0,177.0
Canes Venatici,Terra,0,33900.0
Canis Major,Terra,0,2300.0
Capricornus,Terra,0,24800.0
Cassiopeia,Terra,0,5000.0
Cetus,Terra,0,60000000.0
Coma Berenices,Terra,0,56400.0
Cygnus,Terra,0,825.0
Draco,Terra,0,40000000.0
Gemini,Terra,0,2800.0
Hercules,Terra,0,22800.0
Hydra,Terra,0,1500.0
Leo,Terra,0,35000000.0
Lepus,Terra,0,41100.0
Lyra,Terra,0,4100.0
Monocerus,Terra,0,3000.0
Ophiucus,Terra,0,14400.0
Orion,Pegasus,0,2600.0
Orion,Terra,0,1600.0
Pegasus,Terra,0,33600.0
Perseus,Terra,0,1400.0
Pisces,Terra,0,35000000.0
Puppis,Terra,0,1600.0
Sagitta,Terra,0,11700.0
Sagittarius,Terra,0,2.15
Scorpius,Terra,0,800.0
Scutum,Terra,0,5000.0
Serpens Caput,Terra,0,24500.0
Serpens Claudia,Terra,0,7000.0
Taurus,Terra,0,380.0
Triangulum,Terra,0,3000000.0
Ursa Major,Terra,0,510.0
Virgo,Terra,0,50000000.0
Vulpecula,Terra,0,1.25
NGC 1952 Crab Nebula,Taurus,8.4,6300.0
NGC 7089,Aquarius,6.5,37500.0
NGC 5272,Canes Venatici,6.2,33900.0
NGC 6121,Scorpius,5.6,7200.0
NGC 5904,Serpens Caput,5.6,24500.0
NGC 6405 Butterfly Cluster,Scorpius,5.3,2000.0
NGC 6475 Ptolemy¹s Cluster,Scorpius,4.1,800.0
NGC 6523 Lagoon Nebula,Sagittarius,6,5200.0
NGC 6333,Ophiucus,7.7,26700.0
NGC 6254,Ophiucus,6.6,14400.0
NGC 6705 Wild Duck Cluster,Scutum,6.3,6000.0
NGC 6218,Ophiucus,6.7,16000.0
NGC 6205 Hercules Globular Cluster,Hercules,5.8,22800.0
NGC 6402,Ophiucus,7.6,27400.0
NGC 7078,Pegasus,6.2,33600.0
NGC 6611 Eagle Nebula Cluster,Serpens Claudia,6.4,7000.0
NGC 6618 Omega. Swan. Horseshoe Nebula,Sagittarius,7,5000.0
NGC 6613,Sagittarius,7.5,4900.0
NGC 6273,Ophiucus,6.8,27100.0
NGC 6514 Trifid Nebula,Sagittarius,9,5200.0
NGC 6531,Sagittarius,6.5,4.25
NGC 6656,Sagittarius,5.1,10100.0
NGC 6494,Sagittarius,6.9,2.15
NGC 6603 Milky Way Patch,Sagittarius,4.6,10000.0
IC 4725,Sagittarius,6.5,2000.0
NGC 6694,Scutum,8,5000.0
NGC 6853 Dumbbell Nebula,Vulpecula,7.4,1.25
NGC 6626,Sagittarius,6.8,17900.0
NGC 6913,Cygnus,7.1,4000.0
NGC 7099,Capricornus,7.2,24800.0
NGC 224 Andromeda Galaxy,Andromeda,3.4,2900000.0
NGC 221 Satellite of M31,Andromeda,8.1,2900000.0
NGC 598 Triangulum/Pinwheel Galaxy,Triangulum,5.7,3000000.0
NGC 1039,Perseus,5.5,1400.0
NGC 2168,Gemini,5.3,2800.0
NGC 1960,Auriga,6.3,4100.0
NGC 2099,Auriga,6.2,4400.0
NGC 1912,Auriga,7.4,4200.0
NGC 7092,Cygnus,5.2,825.0
Winecke 4,Ursa Major,9 & 9.3,510.0
NGC 2287,Canis Major,4.6,2300.0
NGC 1976 Great Orion Nebula,Orion,4,1600.0
NGC 1982 de Mairan¹s Nebula,Orion,9,1600.0
